word,track,mxm_tid,count,is_test,artist_familiarity,artist_hotttnesss,artist_id,artist_latitude,artist_location,artist_longitude,artist_name,bc_0,bc_1,bc_2,bc_3,bc_4,bc_5,bc_6,bc_7,bc_8,bc_9,duration,loudness,mode,release,song_hotttnesss,song_id,sp_0,sp_1,sp_10,sp_11,sp_12,sp_13,sp_14,sp_15,sp_16,sp_17,sp_18,sp_19,sp_2,sp_20,sp_21,sp_22,sp_23,sp_24,sp_25,sp_26,sp_27,sp_28,sp_29,sp_3,sp_30,sp_31,sp_32,sp_33,sp_34,sp_35,sp_4,sp_5,sp_6,sp_7,sp_8,sp_9,st_0,st_1,st_10,st_11,st_12,st_13,st_14,st_15,st_16,st_17,st_18,st_19,st_2,st_20,st_21,st_22,st_23,st_24,st_25,st_26,st_27,st_28,st_29,st_3,st_30,st_31,st_32,st_33,st_34,st_35,st_4,st_5,st_6,st_7,st_8,st_9,tempo,title,track_id,k_0,k_1,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,ts_0,ts_1,ts_3,ts_4,ts_5,ts_7
never,654,654,654,654,654,654,654,226,654,226,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,473,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,0,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654,654
say,647,647,647,647,647,647,647,248,647,248,647,645,645,645,645,645,645,645,645,645,645,647,647,647,647,464,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,0,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647
make,637,637,637,637,637,637,637,235,637,235,637,635,635,635,635,635,635,635,635,635,635,637,637,637,637,458,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,0,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637
way,590,590,590,590,590,590,590,234,590,234,590,590,590,590,590,590,590,590,590,589,589,590,590,590,590,416,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,0,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590,590
take,582,582,582,582,582,582,582,202,582,202,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,427,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,0,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582
want,579,579,579,579,579,579,579,205,579,205,579,578,578,578,578,578,578,578,578,577,577,579,579,579,579,409,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,0,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579
ca,572,572,572,572,572,572,572,206,572,206,572,571,571,571,571,571,571,571,571,570,570,572,572,572,572,392,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,0,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572,572
let,566,566,566,566,566,566,566,200,566,200,566,566,566,566,566,566,566,566,566,565,565,566,566,566,566,389,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,0,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566
feel,555,555,555,555,555,555,555,197,555,197,555,553,553,553,553,553,553,553,553,553,553,555,555,555,555,419,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,0,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555
day,543,543,543,543,543,543,543,207,543,207,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,403,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,0,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543
would,542,542,542,542,542,542,542,218,542,218,542,541,541,541,541,541,541,541,541,540,540,542,542,542,542,390,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,0,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542
oh,539,539,539,539,539,539,539,192,539,192,539,538,538,538,538,538,538,538,538,538,538,539,539,539,539,376,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,0,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539
back,521,521,521,521,521,521,521,171,521,171,521,520,520,520,520,520,520,520,520,519,519,521,521,521,521,379,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,0,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521
caus,518,518,518,518,518,518,518,164,518,164,518,517,517,517,517,517,517,517,517,517,517,518,518,518,518,350,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,0,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518
life,506,506,506,506,506,506,506,185,506,185,506,505,505,505,505,505,505,505,505,503,503,506,506,506,506,368,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,0,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506
thing,481,481,481,481,481,481,481,167,481,167,481,480,480,480,480,480,480,480,480,479,479,481,481,481,481,340,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,0,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481
look,468,468,468,468,468,468,468,164,468,164,468,467,467,467,467,467,467,467,467,466,466,468,468,468,468,325,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,0,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468
right,459,459,459,459,459,459,459,155,459,155,459,458,458,458,458,458,458,458,458,457,457,459,459,459,459,304,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,0,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459,459
could,457,457,457,457,457,457,457,155,457,155,457,456,456,456,456,456,456,456,456,454,454,457,457,457,457,328,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,0,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457
away,451,451,451,451,451,451,451,174,451,174,451,450,450,450,450,450,450,450,450,450,450,451,451,451,451,316,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,0,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451
tell,450,450,450,450,450,450,450,164,450,164,450,449,449,449,449,449,449,449,449,448,448,450,450,450,450,310,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,0,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450
eye,438,438,438,438,438,438,438,163,438,163,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,320,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,0,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438,438
heart,434,434,434,434,434,434,434,167,434,167,434,432,432,432,432,432,432,432,432,432,432,434,434,434,434,314,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,0,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434
night,431,431,431,431,431,431,431,173,431,173,431,429,429,429,429,429,429,429,429,428,428,431,431,431,431,304,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,0,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431
yeah,424,424,424,424,424,424,424,147,424,147,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,299,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,0,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424,424
need,413,413,413,413,413,413,413,151,413,151,413,411,411,411,411,411,411,411,411,411,411,413,413,413,413,284,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,0,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413,413
man,400,400,400,400,400,400,400,130,400,130,400,400,400,400,400,400,400,400,400,399,399,400,400,400,400,279,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,0,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
babi,394,394,394,394,394,394,394,140,394,140,394,393,393,393,393,393,393,393,393,393,393,394,394,394,394,270,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,0,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394
world,387,387,387,387,387,387,387,158,387,158,387,386,386,386,386,386,386,386,386,385,385,387,387,387,387,295,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,0,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387
think,387,387,387,387,387,387,387,127,387,127,387,385,385,385,385,385,385,385,385,384,384,387,387,387,387,272,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,0,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387
give,384,384,384,384,384,384,384,136,384,136,384,383,383,383,383,383,383,383,383,381,381,384,384,384,384,273,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,0,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384,384
onli,373,373,373,373,373,373,373,130,373,130,373,372,372,372,372,371,371,371,371,369,369,373,373,373,373,267,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,0,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373,373
tri,372,372,372,372,372,372,372,123,372,123,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,274,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,0,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372,372
gonna,362,362,362,362,362,362,362,140,362,140,362,360,360,360,360,360,360,360,360,359,359,362,362,362,362,235,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,0,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362
still,362,362,362,362,362,362,362,138,362,138,362,361,361,361,361,361,361,361,361,361,361,362,362,362,362,264,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,0,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362,362
live,357,357,357,357,357,357,357,108,357,108,357,356,356,356,356,356,356,356,356,356,356,357,357,357,357,253,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,0,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357
said,347,347,347,347,347,347,347,138,347,138,347,347,347,347,347,347,347,347,347,346,346,347,347,347,347,258,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,0,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347
keep,343,343,343,343,343,343,343,115,343,115,343,343,343,343,343,343,343,343,343,342,342,343,343,343,343,235,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,0,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343,343
around,342,342,342,342,342,342,342,128,342,128,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,247,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,0,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342,342
well,337,337,337,337,337,337,337,129,337,129,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,235,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,0,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337,337
mind,332,332,332,332,332,332,332,109,332,109,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,233,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,0,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332
everi,331,331,331,331,331,331,331,113,331,113,331,330,330,330,330,330,330,330,330,330,330,331,331,331,331,240,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,0,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331,331
hand,326,326,326,326,326,326,326,131,326,131,326,326,326,326,326,326,326,326,326,325,325,326,326,326,326,234,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,0,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326,326
